word,wordvec,word_label
快递,"[0.03328963369131088, 0.19528362154960632, -0.06897615641355515, -0.10965356975793839, 0.21333006024360657, 0.03648752346634865, 0.13139860332012177, -0.15981200337409973, -0.08226493000984192, -0.06101905554533005, -0.11741483956575394, 0.03095683641731739, 0.013758747838437557, 0.12775090336799622, -0.11087711155414581, -0.022089799866080284, -0.112916499376297, -0.21219241619110107, -0.18159030377864838, -0.25265952944755554, -0.05036575719714165, 0.13794945180416107, -0.3118019104003906, 0.1371687799692154, -0.20618170499801636, -0.15489403903484344, -0.09190792590379715, -0.35166800022125244, 0.0012860477436333895, 0.13905566930770874, 0.001739091007038951, -0.08321066945791245, -0.2778976857662201, 0.15825988352298737, -0.01026146486401558, -0.10586165636777878, -0.04376475140452385, 0.30939263105392456, -0.09528243541717529, 0.14433421194553375, 0.21328605711460114, 0.24040885269641876, -0.20614057779312134, 0.03592729568481445, 0.038697630167007446, 0.31700825691223145, -0.20662373304367065, 0.17954838275909424, -0.09151650220155716, 0.08494342118501663, -0.08314011245965958, -0.1468292623758316, 0.09669743478298187, 0.07349606603384018, -0.0021048292983323336, -0.0547790452837944, 0.04153032973408699, 0.1267382949590683, -0.026482490822672844, -0.05681992694735527, -0.17775459587574005, -0.1690463423728943, 0.06872910261154175, -0.11691899597644806, -0.14915411174297333, 0.06619977205991745, -0.02597905322909355, 0.1841590851545334, 0.2566911578178406, -0.08941847831010818, -0.02613716945052147, 0.09675540775060654, -0.25016602873802185, 0.3633846342563629, 0.06942436099052429, -0.02587757259607315, 0.2958427369594574, 0.13460536301136017, -0.0482679046690464, 0.05812235549092293, 0.1467122733592987, -0.04486848786473274, -0.13619862496852875, -0.04275154694914818, 0.007679680362343788, 0.2927390933036804, 0.07472176104784012, 0.28404051065444946, -0.16749659180641174, -0.10517960786819458, -0.049298979341983795, -0.040933120995759964, -0.16526295244693756, 0.36734840273857117, -0.036733392626047134, -0.11036734282970428, -0.05563085153698921, 0.18274721503257751, -0.11486521363258362, -0.18973122537136078]",0
邮政,"[-0.019296135753393173, 0.08350972086191177, 0.05841850861907005, -0.10615459084510803, 0.2430807650089264, -0.14371910691261292, 0.053215593099594116, -0.12662674486637115, -0.03333229199051857, 0.06947936117649078, 0.08444423228502274, -0.035233210772275925, 0.001917665940709412, 0.1350197196006775, -0.259501188993454, -0.07878649234771729, -0.1343960016965866, -0.19515536725521088, -0.18610383570194244, -0.23023799061775208, -0.11266157031059265, 0.2290673404932022, -0.2456817477941513, -0.009005371481180191, -0.10286817699670792, -0.30179113149642944, -0.0005376946646720171, -0.2827926278114319, -0.014302700757980347, 0.1574573665857315, 0.024727949872612953, -0.06707341223955154, -0.18080617487430573, 0.21251218020915985, 0.052378904074430466, -0.20013555884361267, -0.23955769836902618, 0.19326607882976532, -0.14052686095237732, 0.009340520948171616, 0.2004110962152481, 0.07174808531999588, -0.12913648784160614, 0.05442718788981438, -0.1331544667482376, 0.27515074610710144, -0.14014476537704468, 0.17391954362392426, -0.09926649183034897, 0.18151304125785828, -0.22872300446033478, -0.0826292335987091, -0.014182887971401215, -0.01247379183769226, 0.10541359335184097, -0.07100137323141098, -0.008280515670776367, -0.06627687811851501, 0.07991055399179459, -0.13891233503818512, -0.18221089243888855, -0.0847298800945282, 0.07077554613351822, -0.16914530098438263, -0.14424818754196167, 0.09107538312673569, 0.029660873115062714, 0.1604384481906891, 0.32199737429618835, -0.03902924060821533, -0.02770659700036049, 0.07717787474393845, -0.1632811278104782, 0.26937684416770935, -0.11485014110803604, 0.0811413824558258, 0.19940157234668732, 0.08693837374448776, 0.048711806535720825, -0.01702968403697014, 0.10614727437496185, -0.047568608075380325, -0.10579779744148254, -0.11468633264303207, 0.10901040583848953, 0.17054538428783417, -0.0016358880093321204, 0.21606943011283875, -0.07494630664587021, 0.06698191165924072, 0.06518738716840744, -0.004535635467618704, -0.15401767194271088, 0.21113431453704834, 0.044348765164613724, 0.0505409762263298, 0.10694929212331772, 0.10130690783262253, -0.09223490953445435, -0.23671704530715942]",0
和顺,"[0.023217899724841118, 0.03706224262714386, -0.0017990574706345797, -0.017722850665450096, 0.08585170656442642, -0.011874111369252205, -0.015066706575453281, -0.008167903870344162, -0.025849100202322006, 0.02232920005917549, -0.021842414513230324, 0.034116230905056, -0.036909401416778564, 0.060433853417634964, -0.07443232089281082, -0.015388445928692818, -0.05805665999650955, -0.0681598111987114, -0.08142153918743134, -0.05020422115921974, -0.07417754828929901, 0.10413972288370132, -0.15522454679012299, 0.0019391594687476754, -0.04731334373354912, -0.08330614119768143, 0.019610827788710594, -0.09083876013755798, -0.038843344897031784, 0.03520495444536209, 0.05784042552113533, -0.03854461386799812, -0.04616852477192879, 0.044894516468048096, 0.04687809944152832, -0.06051475927233696, -0.04219571128487587, 0.06885021924972534, -0.03786342963576317, 0.000532005971763283, 0.08805461972951889, 0.010469949804246426, 0.018175574019551277, 0.023494960740208626, -0.054676540195941925, 0.10161392390727997, -0.0065343803726136684, 0.08634915202856064, -0.029009200632572174, 0.08160845190286636, -0.09091552346944809, -0.05777019262313843, 0.010556742548942566, -0.074106864631176, 0.056945785880088806, -0.05188698321580887, 0.031244639307260513, -0.04496598616242409, -0.0007708359626121819, 0.023068392649292946, -0.05789191648364067, -0.02901206724345684, 0.018755724653601646, -0.0034883010666817427, -0.034526534378528595, 0.020373761653900146, 0.024473117664456367, 0.06891965866088867, 0.052400290966033936, -0.022655455395579338, -0.06876515597105026, 0.028023304417729378, -0.049678049981594086, 0.12272005528211594, -0.037880659103393555, 0.009755250997841358, 0.09657946228981018, -0.008012202568352222, 0.0030574328266084194, 0.01966218836605549, 0.03279406204819679, -0.03443985804915428, -0.04955688491463661, -0.009793782606720924, 0.06373931467533112, 0.08169586211442947, -0.044443946331739426, 0.06777604669332504, -0.05958159267902374, 0.05231267586350441, 0.022147618234157562, -0.040038980543613434, -0.024631904438138008, 0.021694989874958992, 0.0042352862656116486, 0.037825651466846466, 0.031668130308389664, 0.010477222502231598, -0.04829906299710274, -0.0981694683432579]",0
企业,"[0.016785237938165665, 0.3600395619869232, -0.14951343834400177, -0.31665271520614624, 0.3598722517490387, -0.20859278738498688, 0.4161470830440521, -0.3521588146686554, -0.19061173498630524, -0.0128827765583992, -0.015399915166199207, 0.053658392280340195, 0.3459683358669281, 0.5149766802787781, -0.514854907989502, -0.05996168032288551, -0.3260165750980377, -0.7650173306465149, -0.5745415091514587, -1.0987789630889893, 0.21374066174030304, 0.48500174283981323, -0.5410532355308533, 0.42830967903137207, -0.13638173043727875, -0.6295295357704163, 0.045067816972732544, -1.211496353149414, -0.06450337171554565, 0.48550504446029663, 0.03703480586409569, -0.1295602023601532, -0.7920694947242737, 0.4053979218006134, 0.18265597522258759, -0.2850549817085266, -0.41329142451286316, 0.6194194555282593, -0.30596038699150085, 0.13419725000858307, 0.4683510661125183, 0.5644053220748901, -0.4865208566188812, -0.014060153625905514, -0.040103837847709656, 0.5405672788619995, -0.6793428063392639, 0.3242831826210022, -0.1337628811597824, 0.322809100151062, -0.18422603607177734, -0.5935875177383423, 0.2416653037071228, 0.13981996476650238, -0.11150196939706802, 0.32298704981803894, 0.15248267352581024, -0.1403215378522873, -0.03848356008529663, -0.5039852857589722, -0.5271246433258057, -0.3251803517341614, 0.23223119974136353, -0.3038237392902374, -0.6730796694755554, 0.2613791227340698, -0.1684136539697647, 0.4999134838581085, 0.9555184245109558, -0.34673333168029785, 0.07843385636806488, 0.015669867396354675, -0.45411476492881775, 0.6316452026367188, 0.0813925713300705, 0.07272068411111832, 0.731285035610199, 0.3725329339504242, 0.2639954090118408, -0.13771556317806244, 0.5186882019042969, -0.3818175494670868, -0.4108765423297882, -0.07401280105113983, 0.4057219326496124, 0.446244478225708, 0.02834775485098362, 0.9172285199165344, -0.4424050450325012, -0.3641606271266937, -0.14038996398448944, -0.009408215992152691, -0.18347807228565216, 1.029342532157898, 0.09002740681171417, 0.22436495125293732, -0.19946147501468658, 0.4489127993583679, -0.08962854743003845, -0.5774387121200562]",0
投递,"[0.012432865798473358, 0.05643157288432121, 0.007804575841873884, -0.026561839506030083, 0.05594056099653244, -0.012489726766943932, 0.059365998953580856, -0.08089625090360641, -0.01954030431807041, -0.01971506141126156, -0.0022379609290510416, -0.018738867715001106, 0.04678512364625931, 0.042118944227695465, -0.03762459754943848, -0.005501049570739269, -0.03136179596185684, -0.06152389198541641, -0.035150203853845596, -0.10246684402227402, -0.00374073488637805, 0.019945690408349037, -0.04767562448978424, 0.022263964638113976, -0.021401390433311462, -0.04141833633184433, -0.016733327880501747, -0.10616543889045715, 0.013594437390565872, 0.02645033411681652, -0.033738818019628525, 0.011200293898582458, -0.08226343244314194, 0.04903499037027359, 0.00643572211265564, -0.023165462538599968, -0.024739310145378113, 0.07193903625011444, -0.0021011217031627893, 0.04516521468758583, 0.047378942370414734, 0.03244473785161972, -0.06989137828350067, -0.00632737809792161, -0.016453871503472328, 0.07612720876932144, -0.08488553017377853, 0.040247827768325806, -0.02984529361128807, 0.008974479511380196, 0.010803041979670525, -0.04727387800812721, 0.002078036079183221, 0.053947895765304565, 0.017036298289895058, 0.014707051217556, -0.0006631601136177778, 0.022606588900089264, -0.02547597512602806, -0.03417601063847542, -0.04939277097582817, -0.04332678020000458, 0.026144197210669518, -0.04298381134867668, -0.03707133233547211, 0.01945631578564644, -0.004127311520278454, 0.041973505169153214, 0.07844015955924988, -0.026447545737028122, 0.026359090581536293, 0.0049225082620978355, -0.04504544287919998, 0.06669838726520538, 0.009945481084287167, 0.037204742431640625, 0.07421059161424637, 0.05869407579302788, 0.01639564521610737, -0.00967140682041645, 0.03873167186975479, -0.014369768090546131, -0.03530946001410484, 0.00032571982592344284, 0.01652953214943409, 0.06328840553760529, 0.019327368587255478, 0.06588920950889587, -0.047046832740306854, -0.0329606719315052, 0.007538279984146357, 4.829003592021763e-05, -0.04680047184228897, 0.136248379945755, -0.018542606383562088, -0.01259032916277647, -0.03781231865286827, 0.07217858731746674, -0.01707814447581768, -0.04643433168530464]",0
送货上门,"[-0.013883301056921482, 0.0032517272047698498, -0.00023325311485677958, -0.02220991998910904, 0.054933153092861176, -0.012682690285146236, -0.01958858035504818, -0.009007937274873257, -0.026473892852663994, -0.013897828757762909, 0.0028884713537991047, -0.014188796281814575, -0.00952212605625391, 0.02359943464398384, -0.03965398296713829, 0.01921754516661167, -0.01772957853972912, -0.007238269783556461, -0.007630744017660618, -0.042453303933143616, -0.023270979523658752, -0.037375472486019135, -0.0036642001941800117, 0.01877899095416069, -0.04265359789133072, -0.021969715133309364, 0.008289611898362637, -0.024370331317186356, 0.006431414745748043, 0.03534955531358719, -0.0013243218418210745, -0.015070064924657345, 0.030425570905208588, 0.04570889100432396, -0.028137946501374245, -0.005015496164560318, 0.011244628578424454, 0.005200367420911789, -0.02344515547156334, 0.020511895418167114, 0.0365796722471714, 0.004515910055488348, -0.02013859897851944, 0.011723510921001434, 0.00916353426873684, 0.020712509751319885, 0.010405661538243294, 0.004313168581575155, -0.019817637279629707, 0.012628160417079926, -0.03839144855737686, 0.016390139237046242, -0.000323002808727324, 0.006484469398856163, 0.027931006625294685, -0.017146004363894463, -0.009115445427596569, 0.02989436313509941, 0.009265322238206863, -0.017457572743296623, -0.0054089645855128765, 0.004187125246971846, -0.007553853094577789, -0.038748372346162796, -0.022958137094974518, -0.0008246557554230094, -0.0022155086044222116, 0.019087187945842743, 0.0227457657456398, 0.0018731860909610987, 0.00925992801785469, 0.031167510896921158, -0.02301357500255108, 0.021593989804387093, 0.010117310099303722, 0.005763312801718712, 0.044272784143686295, 0.03918811306357384, -0.01992110162973404, -0.01426293607801199, -0.0019383993931114674, 0.018263939768075943, -0.0049345786683261395, -0.047759633511304855, 0.009715867228806019, 0.02511986717581749, 0.007212555501610041, 0.0229809507727623, 0.020476659759879112, 0.01944558136165142, -0.008246065117418766, 0.0014107695315033197, -0.01686815544962883, 0.046804722398519516, -0.013609240762889385, -0.0485672689974308, 0.023667357861995697, 0.010852296836674213, -0.020120816305279732, -0.012812390923500061]",0
网点,"[-0.039120715111494064, 0.00980217196047306, 0.013842763379216194, -0.03777225688099861, 0.05803033709526062, -0.027503259479999542, 0.010842950083315372, -0.026145868003368378, -0.0037636025808751583, 0.004518801346421242, 0.029121465981006622, -0.02790338359773159, -0.006359269376844168, 0.004092490300536156, -0.0696093887090683, -0.013617237098515034, -0.030486993491649628, -0.0280831940472126, -0.03492015227675438, -0.050287745893001556, -0.014969890005886555, 0.024392658844590187, -0.04412880912423134, 0.01388408150523901, -0.04012161120772362, -0.06213093921542168, -0.019086265936493874, -0.04707825928926468, 0.024828331544995308, 0.03281823545694351, -0.0025615068152546883, -0.037648629397153854, -0.02492709457874298, 0.07086862623691559, -0.026389895007014275, -0.050470832735300064, -0.03553374856710434, 0.03234011307358742, -0.04075275734066963, 0.002987744752317667, 0.043782636523246765, 0.026372715830802917, -0.06688379496335983, 0.03377179056406021, -0.00322463596239686, 0.061061568558216095, -0.024108191952109337, 0.025373335927724838, -0.027651317417621613, 0.027414342388510704, -0.07935913652181625, -0.005496534984558821, -0.020259123295545578, 0.013936959207057953, 0.017973890528082848, -0.0249412190169096, -0.026728352531790733, 0.013601391576230526, 0.03241144120693207, -0.04491687938570976, -0.020185409113764763, -0.02941976487636566, 0.0075804973021149635, -0.05513191968202591, -0.03303803876042366, 0.029785245656967163, 0.015558351762592793, 0.04362177103757858, 0.08011426776647568, -0.001744016888551414, 0.03217821940779686, 0.03156405687332153, -0.043130140751600266, 0.05933219939470291, -0.014730026014149189, 0.010946336202323437, 0.044355608522892, 0.045967500656843185, 0.0023801240604370832, -0.004463945981115103, 0.018833491951227188, -0.007353486493229866, -0.019376343116164207, -0.06027214229106903, 0.004510731436312199, 0.051741525530815125, 0.02715563215315342, 0.054327741265296936, -0.00033603119663894176, 0.02112521603703499, 0.01214627269655466, 0.007169165648519993, -0.0329899936914444, 0.0675668865442276, -0.0036082130391150713, -0.009753918275237083, 0.04286051541566849, 0.025158263742923737, -0.040510404855012894, -0.03133196383714676]",0
月份,"[-0.34512194991111755, 0.09747078269720078, -0.0629432201385498, -0.1973659247159958, -0.08807045966386795, -0.03375941514968872, 0.33760446310043335, -0.25440919399261475, 0.23361392319202423, 0.009707785211503506, 0.25879544019699097, -0.2605460584163666, 0.2710759937763214, -0.2528199255466461, -0.08974364399909973, -0.2460767924785614, -0.04704522714018822, -0.39027127623558044, -0.09387911111116409, -0.5554338693618774, 0.07804861664772034, 0.44134610891342163, -0.09166282415390015, 0.2554570734500885, 0.045161131769418716, -0.3684386610984802, -0.21387706696987152, -0.32212334871292114, 0.39551761746406555, -0.026109281927347183, -0.15433178842067719, -0.1808989942073822, -0.29199934005737305, 0.24241851270198822, -0.1647765338420868, -0.19538666307926178, -0.21555489301681519, 0.25196176767349243, -0.02117244526743889, -0.17675337195396423, -0.056955818086862564, 0.33285224437713623, -0.4716116786003113, 0.17256306111812592, 0.22184878587722778, 0.1397615671157837, -0.2937501072883606, -0.0304279625415802, 0.0869089663028717, -0.0629446730017662, -0.06358160823583603, -0.41460153460502625, -0.11257798224687576, 0.0625319704413414, -0.3148830831050873, 0.14303453266620636, -0.11206436902284622, -0.05373537540435791, 0.11437810957431793, -0.34361350536346436, -0.3655044138431549, -0.18621374666690826, 0.300359308719635, -0.36968931555747986, -0.00821514893323183, 0.02755955047905445, 0.1898934245109558, 0.13074518740177155, 0.3841519057750702, 0.03788452222943306, 0.2884902358055115, 0.13136890530586243, -0.3390006721019745, 0.34172290563583374, -0.03821735456585884, -0.0724252462387085, 0.16090622544288635, 0.3155815601348877, 0.13124045729637146, -0.010424134321510792, 0.26979362964630127, -0.09498477727174759, -0.22398512065410614, -0.11897768080234528, 0.020490482449531555, 0.321614533662796, 0.19674140214920044, 0.301270991563797, -0.17785495519638062, -0.20885320007801056, -0.03223533555865288, 0.14060615003108978, -0.010774084366858006, 0.47636520862579346, -0.09714639186859131, 0.30920812487602234, -0.0360976904630661, 0.2055789977312088, -0.04832151159644127, 0.10739157348871231]",0
西地省,"[0.13438168168067932, 0.3512771427631378, 0.10791391134262085, -0.4016929864883423, 0.18524235486984253, -0.6467282176017761, 0.5242167711257935, -0.47518405318260193, -0.05828165262937546, 0.11328806728124619, 0.21991406381130219, 0.03177935257554054, 0.40681007504463196, 0.3665063679218292, -0.6397371292114258, -0.2818865180015564, -0.13507163524627686, -0.7686077356338501, -0.613018810749054, -1.0143331289291382, 0.12858490645885468, 1.0096384286880493, -0.6425880789756775, 0.11773251742124557, 0.2516447603702545, -0.8957631587982178, 0.11570081859827042, -1.0268495082855225, -0.2480326145887375, 0.4410504698753357, 0.012231836095452309, 0.29436713457107544, -1.3301090002059937, 0.27035441994667053, 0.5306891798973083, -0.453063428401947, -0.8796344995498657, 0.7254104018211365, -0.39030662178993225, -0.014044933021068573, 0.19033211469650269, 0.34357789158821106, -0.4021199345588684, -0.0971464067697525, -0.5865499973297119, 0.5209366083145142, -0.9534918665885925, 0.4637695550918579, -0.14961430430412292, 0.5636545419692993, -0.27478280663490295, -0.6429209113121033, 0.0926022157073021, 0.20212624967098236, 0.141866073012352, 0.27923470735549927, 0.06354142725467682, -0.6334763765335083, 0.1106049045920372, -0.3612334132194519, -0.3894266188144684, -0.16966909170150757, 0.250735878944397, -0.22466081380844116, -0.4726570248603821, 0.43031880259513855, 0.04884902760386467, 0.37282440066337585, 1.107020616531372, -0.3109976053237915, 0.026165084913372993, -0.19775816798210144, -0.22857919335365295, 0.735923707485199, -0.5133552551269531, 0.20592547953128815, 0.4160544276237488, 0.11976264417171478, 0.5991540551185608, -0.1703406572341919, 0.44047901034355164, -0.3392086625099182, -0.2843186557292938, -0.002455559093505144, 0.3230232298374176, 0.2658834159374237, 0.03319209814071655, 0.687606155872345, -0.6456490159034729, -0.2938024699687958, 0.20187751948833466, -0.0647023469209671, -0.26833319664001465, 0.8528627753257751, 0.20037470757961273, 0.6879175901412964, 0.01891145296394825, 0.4415816366672516, 0.13049471378326416, -0.6537877917289734]",0
l6,"[0.02262800931930542, 0.017700491473078728, -0.01621236652135849, -0.047284625470638275, 0.07856114953756332, -0.058712564408779144, -0.004344392102211714, -0.03501381352543831, 0.005595359485596418, 0.010981825180351734, -0.024916457012295723, -0.01748378947377205, -0.010235265828669071, 0.014466389082372189, -0.06983241438865662, -0.019957348704338074, -0.0052493661642074585, -0.007741232868283987, -0.07573114335536957, -0.052260883152484894, -0.08673643320798874, 0.10375910252332687, -0.10799901932477951, -0.006222124211490154, -0.019670484587550163, -0.07052770256996155, -0.02771344594657421, -0.021278204396367073, -0.02032717876136303, 0.0707230418920517, -0.010029129683971405, 0.03532790392637253, -0.1281001716852188, 0.020477743819355965, 0.05254334583878517, -0.07094184309244156, -0.055484093725681305, 0.06569980829954147, -0.051557522267103195, 0.01748572662472725, 0.0927620679140091, 0.011503494344651699, -0.030914416536688805, -0.02881847508251667, -0.0950251966714859, 0.0847463384270668, -0.04499448463320732, 0.0999482050538063, -0.07321159541606903, 0.07720286399126053, -0.05398941412568092, -0.03389111906290054, -0.031633395701646805, 0.0261318851262331, 0.1202152818441391, -0.029829256236553192, 0.0039361873641610146, -0.02032892033457756, 0.022295640781521797, 0.02919268235564232, -0.0007791247917339206, -0.04305211827158928, 0.016942590475082397, 0.03929883614182472, 0.014479349367320538, 0.07945115119218826, 0.04260757938027382, 0.028192080557346344, 0.054893750697374344, -0.06587249785661697, -0.0365125872194767, -0.009814033284783363, 0.01691971905529499, 0.15725460648536682, -0.1116858571767807, -0.011942178010940552, 0.05322067439556122, -0.04572140797972679, 0.03675912320613861, 0.024876942858099937, 0.012252132408320904, -0.035843975841999054, -0.007599125150591135, -0.023432187736034393, 0.0010884827934205532, 0.07263238728046417, 0.0007017765310592949, 0.03705144673585892, -0.11220722645521164, 0.01191636361181736, 0.08079155534505844, -0.046471595764160156, -0.05025425925850868, 0.05268773436546326, 0.006458189804106951, 0.05506353825330734, 0.07715682685375214, 0.04699752852320671, -0.04184991866350174, -0.08731069415807724]",0
收取,"[0.10986121743917465, 0.16476289927959442, -0.0016361423768103123, -0.10580694675445557, 0.245408833026886, 0.006219298578798771, 0.12447720766067505, -0.20806406438350677, -0.051255203783512115, -0.044027142226696014, 0.018941285088658333, -0.012967532500624657, 0.02043435536324978, 0.1072089821100235, -0.12194231897592545, -0.12428654730319977, -0.175054669380188, -0.2935343384742737, -0.15967559814453125, -0.26882702112197876, -0.17257870733737946, 0.19882625341415405, -0.3460574448108673, 0.027447110041975975, -0.1830691695213318, -0.27164414525032043, 0.004283353686332703, -0.3687790334224701, 0.038709063082933426, 0.13869024813175201, -0.014841733500361443, -0.10334821045398712, -0.14221280813217163, 0.24158047139644623, 0.056170325726270676, -0.1308874785900116, -0.13563032448291779, 0.347164511680603, -0.005822501145303249, 0.1025194302201271, 0.24440163373947144, 0.09842927753925323, -0.16476669907569885, 0.07958394289016724, -0.0034433610271662474, 0.3750905990600586, -0.1575910747051239, 0.16965486109256744, -0.09127195179462433, 0.044031232595443726, -0.06594386696815491, -0.1540079563856125, 0.06137740984559059, -0.030183982104063034, 0.002277451567351818, -0.07461465895175934, 0.07181651145219803, 0.100514255464077, 0.03562880679965019, -0.049673788249492645, -0.3013363480567932, -0.16829337179660797, 0.12311062216758728, -0.22043943405151367, -0.1489478200674057, 0.0013416201109066606, -0.004930318798869848, 0.18821801245212555, 0.22111766040325165, 0.004740756005048752, -0.08716920763254166, 0.16183583438396454, -0.3122052252292633, 0.3457362949848175, 0.029435710981488228, 0.04029108211398125, 0.32956987619400024, 0.19796188175678253, -0.10701189935207367, 0.014224142767488956, 0.14393773674964905, 0.0008494811481796205, -0.121846504509449, -0.109017513692379, 0.08885843306779861, 0.31375935673713684, -0.09342428296804428, 0.30784356594085693, -0.09360740333795547, -0.029169388115406036, -0.01787741854786873, 0.02397923544049263, -0.22923217713832855, 0.3203747868537903, -0.03505081310868263, -0.01387443020939827, -0.05508376285433769, 0.1515536904335022, -0.08982262760400772, -0.2201295644044876]",0
